url,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,web_traffic,dns_record,google_index,page_rank,status
http://www.soi.vzott.w12clients.com/,36,28,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.05555555555555555,0.07142857142857142,0,0,0,0,0,3,0,0,0,0,0,4,4,3,3,0,10,10,0,5.25,5.25,0,0,0,0,0,0,0,0,1,83.33333333333334,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,-1,alive
http://visablackfriday.wearenot.online/,39,31,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,2,0,8,8,0,15,15,0,11.5,11.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,0,0,1,-1,alive
https://cluster4.adfs.ovh.net/adfs/ls/?wa=wsignin1.0&wtrealm=https%3A%2F%2Fex4.mail.ovh.net%2Fowa%2F&wctx=rm%3D0%26id%3Dpassive%26ru%3D%252fowa%252f&wct=2020-09-09T06%3A20%3A47Z,177,21,0,7,2,0,1,3,0,4,0,0,14,5,0,1,0,0,0,0,0,0,0,1,0,0.22033898305084745,0.047619047619047616,0,0,1,0,0,3,0,0,0,0,0,33,2,1,3,1,9,8,9,4.0,5.0,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,0,1,-1,alive
https://dropeverything.com.au/,30,21,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,1,0,14,14,0,14,14,0,14.0,14.0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0,0,0,50.0,0,0,0,1,0,1,-1,0,0,1,-1,alive
http://checkpointaroveds-fbpages07634235.cf/,44,36,1,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.18181818181818182,0.2222222222222222,0,0,0,0,0,1,1,0,0,0,0,2,0,15,15,0,17,17,0,16.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,1,1,-1,alive
http://sghautefidelite.rec.tessimarketingservices.fr/fin.php,60,45,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,1,0,5,1,3,3,3,22,22,3,9.2,13.333333333333334,3.0,0,0,0,0,0,0,0,0,83.33333333333334,0,100.0,0.0,0,0,0,0,0,0,0,1,1,1,-1,0,0,1,-1,alive
https://www.germany.info/,25,16,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,2,3,3,3,0,7,7,0,5.0,5.0,0,0,0,0,0,0,0,0,0,100.0,0,100.0,0.0,0,0,0,31.25,0,0,0,1,1,1,-1,0,0,1,-1,alive
https://mitarbeiter.walloschke-gmbh.de/owa/auth/logon.aspx?url=https%3A%2F%2Fmitarbeiter.walloschke-gmbh.de%2Fowa%2F&reason=0,125,30,0,5,2,0,1,1,0,2,0,0,5,5,0,1,0,0,0,0,0,0,0,1,0,0.048,0.0,0,0,1,0,0,3,1,0,0,2,0,19,3,1,4,1,13,11,13,5.052631578947368,8.333333333333334,4.4375,0,0,0,0,0,0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,0,0,1,-1,alive
https://mail.lyseis.tech/owa/auth/logon.aspx?url=https%3A%2F%2Fmail-server.lyseis.local%2Fowa%2F&reason=0,105,16,0,5,1,0,1,1,0,2,0,0,5,5,0,1,0,0,0,0,0,0,0,1,0,0.05714285714285714,0.0,0,0,0,0,0,3,0,0,0,2,0,18,1,1,4,1,6,6,6,4.166666666666667,5.0,4.0625,0,0,0,0,0,0,0,0,100.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,0,1,-1,0,0,1,-1,alive
https://autodiscover.ex2016.itdl.info/owa/auth/logon.aspx?url=https%3A%2F%2Fautodiscover.ex2016.itdl.info%2Fowa%2F&reason=0,123,29,0,7,0,0,1,1,0,2,0,0,5,5,0,1,0,0,0,0,0,0,0,1,0,0.11382113821138211,0.13793103448275862,0,0,1,0,0,3,0,0,0,0,0,19,1,1,4,1,14,12,14,4.842105263157895,7.333333333333333,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,-1,0,0,1,-1,alive
